title,genres,shorts_url
Knives Out,Comedy; Crime,https://youtube.com/shorts/Pgb2Ftu04pc?si=9XjKuT2sw5R-2qyp
L.A. Confidential,Crime,https://youtube.com/shorts/TPE_TLPN7so?si=JpgNK0mxWPi9DfFu
La La Land,Comedy,https://youtube.com/shorts/OcOh0JCXMGI?si=EbQ7oDooO_zlpbBU
Life Is Beautiful,Comedy,https://youtube.com/shorts/pnDvY34Qpac?si=-0ycTQDepdTRKgvN
Life of Pi,Fantasy,https://youtube.com/shorts/OzR4Nvv0q5Y?si=XWwTmvjzPCRYvyaL
"Lock, Stock and Two Smoking Barrels",Comedy; Crime,https://youtube.com/shorts/OGBBr0aUD8s?si=X_3SpYT7D-CyAnB8
Logan,Action,https://youtube.com/shorts/7Udmw6QBjak?si=-0lznCt6chpDR7oe
Léon: The Professional,Action; Crime; Drama,https://youtube.com/shorts/5Eu47oSDHgw?si=mhbNF06DUvCzMKUO
Mad Max: Fury Road,Action; Adventure,https://youtube.com/shorts/Y5dX93yrjYg?si=ZJo4g0iOq2vtpuTv
Man of Steel,Action,https://youtube.com/shorts/7NIgk1zDHVM?si=YGMcx2lJbtHRlGou
Memento,Drama,https://youtube.com/shorts/ZP6klmjKnr0?si=T7fe25auIajvdk0U
Men in Black,Comedy,https://youtube.com/shorts/tCHqApXUwKQ?si=HYM_E4tFfIp7PbBz
Midsommar,Horror,https://youtube.com/shorts/vFuhrJ-eSV8?si=59ZulsJVU7nwhIqa
"Monsters, Inc.",Adventure; Comedy; Fantasy,https://youtube.com/shorts/tO56RARYCD8?si=J-FhunXSsW6dc8wO
Nightcrawler,Crime,https://youtube.com/shorts/UNgurEh8vq0?si=uMuBpbpd0aYYW3sk
No Country for Old Men,Crime; Drama,https://youtube.com/shorts/pgpGUoHQ-fU?si=rlqqq-NzsL74gkPQ
Now You See Me,Crime,https://youtube.com/shorts/unTxFeqNUqA?si=RiVJEpn_3Ma1M5WW
Ocean's Eleven,Crime,https://youtube.com/shorts/LMPUupKiM7A?si=AwNjMVHJM4ynSA3t
Once Upon a Time... in Hollywood,Comedy,https://youtube.com/shorts/2ddulqrsVjg?si=otSm5UAAphhooiT6
One Flew Over the Cuckoo's Nest,Drama,https://youtube.com/shorts/iVFusiTedaM?si=HhUNh3om-ytkTRCi
Pan's Labyrinth,Fantasy,https://youtube.com/shorts/m7X7Gk5ue9c?si=iL1NuukhAOnQJwZf
Parasite,Drama,https://youtube.com/shorts/W1i5J0vDVOg?si=EJHzMmM3bxgm8ciY
Pirates of the Caribbean: At World's End,Fantasy,https://youtube.com/shorts/vyy8yH5njdQ?si=9LkIGxWmG755WXmc
Pirates of the Caribbean: Dead Man's Chest,Fantasy,https://youtube.com/shorts/p5zR0dxqgz8?si=MokDtbdPd0F27j-F
Pirates of the Caribbean: The Curse of the Black Pearl,Action; Adventure; Fantasy,https://youtube.com/shorts/IpO7CXz4MyA?si=ac-T4UlwJEe_7GEd
Predator,Horror,https://youtube.com/shorts/dV71V2-qlJ0?si=t3QO5mYANhF9zeWt
Prisoners,Crime,https://youtube.com/shorts/0mECNrNO8Y0?si=y0kqDPwX5E85BPzE
Psycho,Horror,https://youtube.com/shorts/DaLFU0Su0y4?si=tngCFaUWxOvR8eeo
Pulp Fiction,Crime; Drama,https://youtube.com/shorts/OxPHoo_WXd4?si=CAsMoWsZTnCto-Gq
Raiders of the Lost Ark,Action; Adventure,https://youtube.com/shorts/fHmu1PHgR0M?si=punYaru3xTohmb6b
Ratatouille,Adventure; Comedy; Fantasy,https://youtube.com/shorts/A319wUxy0rE?si=XfulWobXvFITIg3r
Reservoir Dogs,Crime,https://youtube.com/shorts/RNJcH80mj-c?si=G9tQ4o3UkBkDdRu3
Saving Private Ryan,Drama,https://youtube.com/shorts/FgO1SPqkozs?si=DPCLvn0lJqu55b4u
Saw,Horror,https://youtube.com/shorts/aXtUoUlEIjo?si=98wb42GEw8i-JQCx
Scarface,Crime,https://youtube.com/shorts/ipbvS9xqyu8?si=0gvm6yeFQvg6D_e6
Schindler's List,Drama,https://youtube.com/shorts/KIW4QnQOWAs?si=H51vwygKnwsiBbjG
Scream,Horror,https://youtube.com/shorts/wwPyvYID3cM?si=DrbkLazNglOs51s-
Se7en,Crime; Drama,https://youtube.com/shorts/6OzJKtVkiTM?si=bU5w8a2UiIWCWNs6
Shaun of the Dead,Comedy; Horror,https://youtube.com/shorts/AnXabZErgSc?si=BG73AWxRJ-JwWPh6
Shrek,Comedy; Fantasy,https://youtube.com/shorts/Bn_jUVyXjt0?si=rrU3nUKXLfMFo9Ck
Shutter Island,Drama,https://youtube.com/shorts/OfTH5a6rMnk?si=oSoQ9imssln83J_n
Silver Linings Playbook,Comedy,https://youtube.com/shorts/hCDboG0bEng?si=4yqNQ27tA8_erfcC
Sin City,Crime,https://youtube.com/shorts/Gs8sXkTPLJw?si=iiFwSLeP6eUqpEK6
Sleepy Hollow,Horror,https://youtube.com/shorts/juxOYl9LHV0?si=HSmu9Pu57mrcnCg_
Slumdog Millionaire,Crime,https://youtube.com/shorts/2ccv8Jqwzzg?si=Fpkp8PGIo9iNjXpj
Snatch,Comedy; Crime,https://youtube.com/shorts/4WTVTjx2-tU?si=C69wptLsjAz94k3W
Spider-Man,Action; Adventure,https://youtube.com/shorts/lRW-QKQtlcM?si=ImncdnPfhptYaADU
Spider-Man: Far from Home,Comedy; Fantasy,https://youtube.com/shorts/3FKcrRgDw3k?si=wzEooyOVHl4OHSW2
Spider-Man: Into the Spider-Verse,Comedy; Fantasy,https://youtube.com/shorts/Ac6COiDtX9Q?si=yJCBYFxXsZuufYJJ
Spider-Man: No Way Home,Action; Adventure; Fantasy,https://youtube.com/shorts/azKzphjFEZ8?si=dzq74c_MNh0EVfy0
Spirited Away,Adventure; Fantasy,https://youtube.com/shorts/aV1hrlnP33M?si=AN53JJj1PcfSm3He
Split,Horror,https://youtube.com/shorts/H_ZmPM70N5o?si=a9NQAOHbOuoXxS1A
Star Wars: Episode I - The Phantom Menace,Action; Adventure; Fantasy,https://youtube.com/shorts/uWsPGbNf5CU?si=nzjwYPAgDeTIVJUb
Star Wars: Episode II - Attack of the Clones,Fantasy,https://youtube.com/shorts/D9U_QbI_e3g?si=pWEM-QsVJyovTLI6
Star Wars: Episode III - Revenge of the Sith,Action; Adventure; Fantasy,https://youtube.com/shorts/JcK90FGJLTg?si=zPeE7YKHj14Q4Kk7
Star Wars: Episode IV - A New Hope,Action; Adventure; Fantasy,https://youtube.com/shorts/r0Y1KQotQQc?si=r8YQUxnrjXEYV_lT
